i,2^i,Tempo Médio,Desvio Padrão,Variância,Vazão,Tempo 1,Tempo 2,Tempo 3,Tempo 4,Tempo 5
0,1,12.122169,0.079876,0.006380,844.23,12.177584,11.989892,12.148617,12.185992,12.108762
1,2,5.804531,0.153373,0.023523,1763.08,5.566358,5.751543,5.872764,5.966270,5.865718
2,4,2.953720,0.047504,0.002257,3464.74,2.897371,3.010826,2.954516,2.916970,2.988919
3,8,1.512830,0.064872,0.004208,6764.72,1.478574,1.439905,1.559881,1.486682,1.599110
4,16,0.742745,0.019435,0.000378,13778.43,0.770207,0.750479,0.719846,0.743558,0.729637
5,32,0.379494,0.015549,0.000242,26967.17,0.391207,0.354101,0.375033,0.388005,0.389122
6,64,0.189487,0.002135,0.000005,54008.17,0.192399,0.188443,0.188700,0.190878,0.187017
7,128,0.112705,0.005084,0.000026,90802.58,0.111296,0.108765,0.121621,0.110878,0.110963
8,256,0.063783,0.003117,0.000010,160447.20,0.059986,0.061845,0.065082,0.068142,0.063862
9,512,0.040779,0.003332,0.000011,250958.04,0.043763,0.043446,0.037932,0.042238,0.036517
10,1024,0.033229,0.001222,0.000001,307980.02,0.033564,0.031252,0.034612,0.033291,0.033426
11,2048,0.025594,0.002614,0.000007,399860.43,0.027506,0.023891,0.027515,0.021806,0.027250
12,4096,0.022201,0.001764,0.000003,460960.13,0.020911,0.023728,0.021075,0.020803,0.024489
13,8192,0.018709,0.001658,0.000003,547008.25,0.018326,0.018596,0.021536,0.017296,0.017790
14,16384,0.017532,0.002374,0.000006,583718.42,0.013427,0.018251,0.019567,0.018452,0.017964
15,32768,0.016230,0.002206,0.000005,630552.56,0.013299,0.018617,0.018133,0.016113,0.014988
16,65536,0.016530,0.001259,0.000002,619101.28,0.016168,0.016137,0.014895,0.017213,0.018238
